business_id,num_reviews,num_relationship_words,aunt,bff,boo,boss,boyfriend,brother,child,classmate,client,cousin,coworker,date,daughter,father,fiancee,friend,girlfriend,grandchild,grandfather,grandmother,grandparents,housemate,husband,mother,neighbor,nephew,niece,parent,partner,professor,relationship,siblings,sister,son,spouse,teacher,uncle,wife
iZxfWlfNPXV_0S1xO8QNSQ,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
wZgUAuDuEGPEzKK-PsngKQ,12,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mOnesB4IF9j6-ZmHoOHOig,300,37,0,0,0,0,8,0,0,0,0,0,3,0,1,1,1,10,0,0,0,0,0,0,4,2,0,0,0,2,0,0,0,0,3,2,0,0,0,0
I2OblwJG8_XzFxxoHU0vVQ,145,25,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,4,1,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4
AW_dMex_BXFzgBJFxAjDuQ,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CF2k7avLtV246iJwp16J7Q,206,25,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,1,3,0,0,0,2
vRrDTIW9IFBO4cc3laazUw,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J7KvI94QUxab29LLeG6bew,23,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
g3pXGPRKYd_WQxLT2IFPxQ,141,31,0,0,0,0,3,2,2,0,0,0,0,1,2,0,0,5,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,4,0,0,0,4
bZiIIUcpgxh8mpKMDhdqbA,4644,694,2,1,0,1,77,13,21,0,0,9,5,5,22,13,12,248,24,0,0,1,0,6,93,19,1,2,2,7,12,0,0,0,21,21,0,0,0,56
n66LuZ8NooZIcAfYvI4s5A,11,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gvpoFnaCq2J7TBXV7yFIkQ,624,81,0,0,0,1,9,0,1,0,0,2,2,1,1,1,1,27,0,0,0,0,0,0,22,2,0,0,0,1,1,0,0,0,0,4,0,0,0,5
LUCmOKTK5Uh7eU84yJq3mQ,132,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
JCgLWYjoPJlznzFEtnzqKg,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrWSjn4a8o4dHoqKs53GBA,585,85,0,0,0,0,11,0,3,0,0,0,1,0,3,0,3,20,1,0,0,2,0,1,19,0,1,0,1,0,1,0,0,0,6,3,0,0,0,9
