business_id,num_reviews,num_relationship_words,aunt,bff,boo,boss,boyfriend,brother,child,classmate,client,cousin,coworker,date,daughter,father,fiancee,friend,girlfriend,grandchild,grandfather,grandmother,grandparents,housemate,husband,mother,neighbor,nephew,niece,parent,partner,professor,relationship,siblings,sister,son,spouse,teacher,uncle,wife
buF9druCkbuXLX526sGELQ,84,21,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
RA4V8pr014UyUbDvI-LW2A,60,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xGXzsc-hzam-VArK6eTvtw,324,73,0,0,0,0,8,1,1,2,0,1,2,2,2,0,0,31,5,0,0,0,0,3,3,1,0,0,0,2,2,0,0,0,2,0,0,0,0,5
EEHhKSxUvJkoPSzeGKkpVg,110,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
zmZ3HkVCeZPBefJJxzdJ7A,544,79,0,0,0,1,15,0,1,0,0,0,0,1,2,2,0,36,2,0,0,0,0,1,10,2,0,0,1,0,0,0,0,0,1,1,0,0,0,3
ISBs1ARjIFCXGWqPmGSMog,44,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tiKV9b0b2kpaGm5a-nd1ig,117,32,0,0,0,0,5,2,2,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,3,0,0,0,0,8
zWp3VbtS1p6PEdOxImpL1A,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EuiU19EjhybpGLXqBzntgw,92,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,1,1,0,0,0,5
PYDzfxSLUCCwQysbOkFSVA,281,43,0,0,0,0,3,2,3,0,0,0,0,1,1,0,1,18,1,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,1,1,0,0,0,2
LAhRM37ofCq5f4nCM20aCA,94,12,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
wVlxPWwFL-MrzCXim-UfWg,338,54,0,0,0,0,2,1,2,0,0,0,1,1,2,0,0,10,3,0,0,0,0,0,13,3,0,0,0,0,2,0,0,0,2,3,1,0,0,8
r1vkjKMksmHhE9SjvSAdaw,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAtX7xmIfdd1W2Pebf6NWg,192,26,0,0,0,0,2,0,0,0,0,0,3,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
jhFi0oxdyiyCYK7i-CW59A,221,28,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,7,1,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,2,0,0,2,0,2
oaaeZ4BvMR9pHXYb5USEEQ,138,7,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
