business_id,num_reviews,num_relationship_words,aunt,bff,boo,boss,boyfriend,brother,child,classmate,client,cousin,coworker,date,daughter,father,fiancee,friend,girlfriend,grandchild,grandfather,grandmother,grandparents,housemate,husband,mother,neighbor,nephew,niece,parent,partner,professor,relationship,siblings,sister,son,spouse,teacher,uncle,wife,family,romantic,friendship,professional,family_pct,romantic_pct,friendship_pct,professional_pct,name,categories,stars,review_count,address,city,state,longitude,latitude,metroarea,is_active,is_arts,is_auto,is_beautysvc,is_bicycles,is_education,is_eventservices,is_financialservices,is_food,is_health,is_homeservices,is_hotelstravel,is_localflavor,is_localservices,is_massmedia,is_nightlife,is_pets,is_professional,is_publicservicesgovt,is_religiousorgs,is_restaurants,is_shopping
8zehGz9jnxPqXtOc7KaJxA,931,187,2,0,0,1,16,1,0,0,0,1,2,2,14,2,1,29,7,0,0,0,0,0,47,4,1,1,1,2,5,0,0,0,2,9,0,0,0,37,123,31,30,3,0.6577540106951871,0.1657754010695187,0.16042780748663102,0.016042780748663103,Brasserie Ten Ten,"Restaurants, French",4,977,1011 Walnut St,Boulder,CO,-105.2820678,40.0166983,Boulder,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
i9BDFBYcl_PGqrLbQUdMvg,207,22,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,4,13,0,0.22727272727272727,0.18181818181818182,0.5909090909090909,0.0,Half Fast Subs,"Sandwiches, Restaurants",4,249,1215 13th St,Boulder,CO,-105.2764743,40.00899571,Boulder,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
GZgOQOlFVLgNMHBBjspHRw,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,SiP,"Nightlife, Food, Wine Bars, Tapas/Small Plates, Beer Bar, Restaurants, Coffee & Tea, Cafes, Bars",4,40,"2810 E College Ave, Ste 3",Boulder,CO,-105.257972,40.0068938,Boulder,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
ywqcgiVfX3sorqlKs1nhLw,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Precision Auto Glass,"Automotive, Windshield Installation & Repair, Auto Glass Services",5,21,1321 E College Ave,Boulder,CO,-105.2757,40.007667,Boulder,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5P3b82EqZqR7lCqAYj-zaQ,254,35,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,1,0,8,4,0,0,0,1,0,0,0,0,0,0,0,0,0,7,21,7,7,0,0.6,0.2,0.2,0.0,The Parkway Cafe,"American (New), Mexican, Restaurants, Cafes, American (Traditional), Diners, Breakfast & Brunch",4,277,"4700 Pearl St, Ste 4",Boulder,CO,-105.2433078,40.02489881,Boulder,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
KRNrssbpE1AKo-48BIpdLw,168,27,0,0,0,0,3,0,2,0,0,0,1,1,4,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,18,4,4,1,0.6666666666666666,0.14814814814814814,0.14814814814814814,0.037037037037037035,Bao Asian Fusion & Sushi Bar,"Sushi Bars, Asian Fusion, Restaurants, Japanese",4,176,594 S McCaslin Blvd,Louisville,CO,-105.1636797,39.9617031,Boulder,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
8IhF8Vvnr3Nz-b3GR11M6A,170,48,0,0,0,0,3,2,1,0,0,0,1,1,2,1,1,5,1,0,0,1,0,1,8,4,0,0,0,0,0,0,0,0,1,5,0,0,0,10,35,6,6,1,0.7291666666666666,0.125,0.125,0.020833333333333332,Boulder Cork,"Restaurants, American (New), Steakhouses, Seafood, American (Traditional)",4,193,3295 30th St,Boulder,CO,-105.2541619,40.034586,Boulder,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
fDdEF4gGLzvnlngrPQD2ug,48,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,0,0.7142857142857143,0.0,0.2857142857142857,0.0,Thai Monkey Club,"Food, Event Planning & Services, Restaurants, Thai, Food Delivery Services",4,46,"1156 W Dillon Rd, Ste 4",Louisville,CO,-105.1667339,39.9611427,Boulder,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Of6xu3pY3eHe2yhiyz2dvg,39,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.5,0.0,0.5,0.0,Taco Bell,"Restaurants, Tex-Mex, Tacos, Fast Food, Breakfast & Brunch, Mexican",2,44,3255 28th Street,Boulder,CO,-105.2591028,40.03367768,Boulder,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
5q2vJyH9VzckXIqwgAF4_w,37,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0.6666666666666666,0.0,0.3333333333333333,0.0,Alpine Hospital for Animals,"Pet Services, Acupuncture, Pets, Health & Medical, Veterinarians",4,41,3210 Valmont Rd,Boulder,CO,-105.250452,40.028875,Boulder,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
CIu4y0FX6Yrxz9wexkKMWg,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,0.0,0.0,0.0,College Optical,"Optometrists, Eyewear & Opticians, Health & Medical, Shopping",4,18,"1350 College Ave, Ste 100",Boulder,CO,-105.2754235,40.007125,Boulder,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
