business_id,num_reviews,num_relationship_words,aunt,bff,boo,boss,boyfriend,brother,child,classmate,client,cousin,coworker,date,daughter,father,fiancee,friend,girlfriend,grandchild,grandfather,grandmother,grandparents,housemate,husband,mother,neighbor,nephew,niece,parent,partner,professor,relationship,siblings,sister,son,spouse,teacher,uncle,wife
aKLaNeoteS7aofO9id53Wg,96,13,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
Pisoftb2bzA6OkqwppOTTA,33,12,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
qh9GPo8OJa4kxJyZEQkWIQ,918,234,0,0,0,0,26,2,1,0,1,2,8,3,5,3,3,54,7,0,0,1,0,0,50,9,1,0,0,3,5,0,0,0,4,2,0,0,0,44
rZOy9CG5oMQfadSuj_zwAw,57,15,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
OFwU816bVkCB7jMXbn1T_w,349,66,0,0,0,0,8,1,1,0,0,0,2,3,1,0,0,20,6,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,1,1,0,0,9
sR8Q3kXeNb4so1yc3EBllg,151,39,0,0,0,0,3,2,2,0,0,1,0,0,1,1,0,3,0,0,0,2,0,0,5,5,0,0,0,0,1,0,0,0,1,1,0,0,0,11
bsWl4HuCUj23b7YHcxok1A,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9becSOs6Am7fpcc9saQqEQ,352,89,0,0,0,0,8,1,4,0,0,0,0,1,4,3,0,25,3,0,0,0,0,0,13,6,0,0,0,2,1,0,0,0,2,3,0,0,0,13
lxLWwLY-9NqhiQdy0TuITA,75,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
XAQQPNKzyQP4ZcGBBmZpew,36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ALp_G10iVMXx8Ck25Y32dw,58,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
nkSq4zCSZG0wSmzOEL6reQ,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vecuat0jOia-CJveW3ngDw,1268,221,1,0,0,0,14,8,6,0,0,1,4,0,8,10,2,37,5,0,1,6,2,0,33,18,2,1,1,7,1,0,1,0,10,12,0,0,0,30
1R3eM-9SnN0xjN1FW-nCyA,25,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
