business_id,num_reviews,num_relationship_words,aunt,aunts,bae,bf,bff,boo,boss,boyfriend,brother,brothers,buddies,buddy,child,children,classmate,classmates,client,clients,colleague,colleagues,cousin,cousins,coworker,coworkers,dad,date,daughter,daughters,father,fiance,fiancee,flatmate,flatmates,friend,friends,gf,girlfriend,grandchild,grandchildren,grandfather,grandma,grandmother,grandpa,grandparents,housemate,housemates,husband,kid,kids,mom,mother,neighbor,neighbors,nephew,nephews,niece,nieces,pal,pals,parent,parents,partner,professor,professors,relationship,roommate,roommates,siblings,sister,sisters,son,sons,spouse,sweetheart,teacher,teachers,uncle,uncles,wife
0AzLzHfOJgL7ROwhdww2ew,283,40,0,0,0,1,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,9
DbXHNl890xSXNiyRczLWAg,147,40,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,9
mD-A9KOWADXvfrZfwDs-jw,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw_qxZJraNu7Q6u0GkcMew,152,44,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6
_gOz7-aHMyGUHOtjDrEv2w,290,110,0,0,0,1,0,0,0,5,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,10,2,25,1,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,18,4,0,0,0,0,0,0,11
Qydynzc1ApxsSkVNEgPs9A,516,86,0,0,0,1,0,0,0,7,0,0,0,1,2,0,0,0,0,0,0,0,1,0,2,0,1,1,3,2,0,0,0,0,0,17,9,1,3,0,0,0,0,0,0,0,0,0,14,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,10
Ld88I1LFRlxnFlQVIoHAJw,243,39,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0,0,0,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8
jdAHMkNHejuvOk9vE6wGWA,560,59,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,1,0,0,0,8,7,0,1,0,0,0,1,0,0,0,0,0,12,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,4,1,0,0,0,0,1,0,5
ZX6v0viDJtr_fP7Mt3Gczg,69,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
avhO2gx4ensf6Su6ld9d5g,110,35,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,5
0TU09h0pr6Jfd2VBorDAbw,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0BGoel6on7yGvojzOqOEAQ,378,120,0,0,0,0,0,0,0,7,2,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,2,0,11,0,0,1,0,0,0,11,4,0,2,0,0,0,1,0,0,0,0,0,29,2,3,4,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,21
FQsIpsHVYuvE8jH5jrE5Lw,107,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GDs0ymtRPWWHlUMBfNT5yg,258,61,1,0,0,0,1,0,0,5,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,1,2,1,0,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,12,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,11
xTUmHvDbHDTwEl9w_f667w,344,83,1,0,0,0,0,0,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3,3,1,0,0,0,1,3,1,3,0,0,0,1,2,0,0,0,0,14,0,6,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,1,7,1,0,0,0,0,0,0,7
1BvysshfkDS2eJ0k8XiDjQ,225,53,0,0,0,1,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,9,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,5,0,0,0,0,0,0,0,16
I7atR1yTJMOgSoZLXLtCWA,98,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
DiRIdYhGyuTNZurKyuWf7A,783,175,0,0,0,2,0,0,0,12,5,0,0,0,1,0,0,0,0,0,0,0,1,0,3,4,2,5,2,0,3,1,0,0,0,23,19,1,3,0,0,0,0,1,0,0,0,0,31,0,0,5,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,7,1,6,0,1,0,0,0,0,0,28
paHbKmPjwirnIP7esoTPCQ,383,74,0,0,0,2,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,0,1,0,0,0,12,8,0,1,0,1,0,0,0,0,0,0,0,15,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,11
zg9p8ZBFmEUCtfcBHNvzvg,79,13,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
WwLZgm2Yw0n9AEo05sa3tQ,69,13,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
