business_id,num_reviews,num_relationship_words,aunt,bff,boo,boss,boyfriend,brother,child,classmate,client,cousin,coworker,date,daughter,father,fiancee,friend,girlfriend,grandchild,grandfather,grandmother,grandparents,housemate,husband,mother,neighbor,nephew,niece,parent,partner,professor,relationship,siblings,sister,son,spouse,teacher,uncle,wife
_sS2LBIGNT5NQb6PD1Vtjw,240,26,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,6,1,0,0,0,0,0,6,3,0,0,0,2,0,0,0,0,0,0,0,0,0,5
WQFn1A7-UAA4JT5YWiop_w,304,62,0,0,0,0,6,1,4,0,0,0,0,0,4,0,1,7,2,0,0,0,0,0,16,1,0,0,0,0,2,0,0,0,1,4,2,0,0,11
MJYb0fioM-X7jc_0RIYyqQ,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H_RM2u1WWGU1HkKZrYq2Ow,3951,422,1,0,0,2,68,5,17,0,2,3,11,0,11,3,2,125,10,0,0,3,1,2,71,9,3,1,2,5,4,0,0,0,20,10,1,0,1,29
9P-lp3AWDXGayDqJz9VPwQ,558,75,0,0,1,0,7,1,0,0,0,0,0,0,6,0,2,19,2,0,0,0,0,0,17,5,0,1,0,0,2,0,0,0,1,1,2,0,1,7
0nMbLN0B5I-2tNnQLSo86w,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Un6u2cECyV4nZb_HGZ-uTA,1544,295,1,0,1,0,32,5,6,0,0,3,1,2,7,6,2,76,12,0,0,0,0,1,56,14,0,0,0,3,12,0,0,0,9,12,0,0,0,34
g4CP3kgH1jTtMn-joxPT0A,218,25,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,8,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
sR_BWNRynuuM78YU2GS_fQ,310,44,0,0,0,0,2,0,0,0,2,2,0,0,12,2,0,9,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,2,2,0,0,1,2
0WqROvvlHjvpeHIP0fg9EQ,750,107,0,0,0,0,8,0,4,0,0,2,0,0,5,3,1,20,7,1,0,1,0,1,23,1,0,2,1,3,2,0,0,0,1,6,0,0,0,15
Xak7y2IYtKJlUEzEsac9vA,418,59,0,0,0,0,2,0,0,0,0,1,0,0,4,2,0,4,1,0,0,0,0,0,17,2,0,0,0,1,1,0,2,0,1,1,0,0,0,20
