business_id,num_reviews,num_relationship_words,aunt,bff,boo,boss,boyfriend,brother,child,classmate,client,cousin,coworker,date,daughter,father,fiancee,friend,girlfriend,grandchild,grandfather,grandmother,grandparents,housemate,husband,mother,neighbor,nephew,niece,parent,partner,professor,relationship,siblings,sister,son,spouse,teacher,uncle,wife
6Hm2FmfLcU_M91TrZI5htA,230,44,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,27,4,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
KXCXaF5qimmtKKqnPc_LQA,854,108,2,0,0,0,11,1,0,0,0,3,4,0,2,2,2,37,7,0,0,0,0,0,14,9,0,0,0,0,1,0,0,1,8,0,0,0,0,4
jMz_y_-cWMfiZF7Q5snE6Q,404,43,0,0,0,0,9,0,1,0,0,0,1,0,0,0,0,14,3,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,2,1,0,0,0,4
M4jkJHewQXZvDV34Tuon8g,277,88,1,0,0,0,8,2,1,0,0,1,0,2,4,1,2,38,5,0,0,0,0,0,8,3,0,0,0,1,6,0,0,0,2,1,0,0,0,2
VPqWLp9kMiZEbctCebIZUA,2226,411,0,0,1,2,52,2,5,0,1,9,0,2,3,4,4,170,21,0,0,0,1,0,60,16,0,0,0,4,15,0,0,0,10,3,0,0,0,26
F7xXy4c9pCSQYVG_QxeBSw,43,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
lq0rcFfgZJfzo9UD8bjDuA,60,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
VvmKYyGo4CDQ3rr9KMc4jg,20,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VzBw4yBOaPc_Zniovd37yQ,194,31,0,0,0,0,4,1,3,0,0,1,0,0,2,2,0,5,2,0,0,0,0,0,2,3,0,0,0,2,0,0,0,1,1,1,0,0,0,1
IYyYpXSsD41g14_z-Zdtiw,141,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,2,1,0,0,0,0,4,0,0,0,0,1,0,0,0,3
7ee6XyKyeduI-Rbc6L5j2Q,63,12,1,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0
VRwq4hgdoR9YZOfNIXd4Ow,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
uo8kklLY1LK9mh11BPwywQ,87,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
h--UWTcbGQMJULlnd5dB1A,39,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
KW2svfVHffW_FD8oeJo1xQ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
